epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15357.8,1.39037,2.47052,1.34148,0.41921,0.10552,0.09881,0.06629,1.2648,3.09024,1.34916,0.0033333,0.0033333,0.0033333
2,30404.6,1.37686,2.03423,1.31786,0.45871,0.11804,0.11394,0.07619,1.25862,2.86023,1.32571,0.00660064,0.00660064,0.00660064
3,45040.9,1.38968,1.98897,1.3171,0.51874,0.11088,0.11602,0.07797,1.25857,2.92202,1.31264,0.00980197,0.00980197,0.00980197
4,59260.8,1.39441,1.99103,1.31927,0.49954,0.12685,0.12381,0.08282,1.24383,2.70036,1.29557,0.009703,0.009703,0.009703
5,73934.1,1.38688,1.96957,1.31405,0.51376,0.13243,0.12887,0.08566,1.23949,2.62607,1.29102,0.009604,0.009604,0.009604
6,89416.5,1.38397,1.96241,1.31198,0.51741,0.13282,0.13083,0.08697,1.23865,2.6119,1.28894,0.009505,0.009505,0.009505
7,106188,1.38148,1.95564,1.31018,0.50432,0.13536,0.13162,0.08744,1.23673,2.59848,1.28655,0.009406,0.009406,0.009406
8,120387,1.37988,1.95054,1.30885,0.52375,0.13581,0.13235,0.08803,1.23557,2.59634,1.28632,0.009307,0.009307,0.009307
9,134503,1.37756,1.946,1.30759,0.52072,0.13702,0.13454,0.0894,1.23438,2.58505,1.28525,0.009208,0.009208,0.009208
10,192218,1.3762,1.94163,1.30672,0.51546,0.13658,0.13489,0.0896,1.23372,2.58797,1.28458,0.009109,0.009109,0.009109
11,210826,1.37434,1.93919,1.30546,0.52643,0.1383,0.13536,0.09006,1.23218,2.5826,1.2828,0.00901,0.00901,0.00901
12,225376,1.37324,1.93534,1.30459,0.51214,0.13799,0.13485,0.08973,1.23144,2.57476,1.28137,0.008911,0.008911,0.008911
13,239750,1.37238,1.9324,1.30339,0.5223,0.13858,0.13671,0.09088,1.23113,2.57081,1.28091,0.008812,0.008812,0.008812
14,253968,1.37105,1.92938,1.30228,0.51728,0.13883,0.13644,0.09077,1.23015,2.56364,1.27973,0.008713,0.008713,0.008713
15,268065,1.36966,1.92621,1.30167,0.5173,0.13951,0.13776,0.09148,1.22977,2.56285,1.28058,0.008614,0.008614,0.008614
16,283157,1.36846,1.92379,1.30051,0.53185,0.13904,0.13819,0.09187,1.22887,2.56024,1.27873,0.008515,0.008515,0.008515
17,300114,1.36749,1.9212,1.29977,0.51957,0.14082,0.13806,0.09177,1.22837,2.55791,1.27732,0.008416,0.008416,0.008416
18,315413,1.3661,1.91733,1.29865,0.52911,0.14056,0.13862,0.09195,1.22829,2.55564,1.27697,0.008317,0.008317,0.008317
19,329568,1.36488,1.91563,1.29772,0.52829,0.14087,0.13874,0.09212,1.22811,2.552,1.27657,0.008218,0.008218,0.008218
20,343766,1.36415,1.91365,1.2972,0.5248,0.1421,0.13868,0.0921,1.22658,2.55141,1.27603,0.008119,0.008119,0.008119
21,357846,1.36302,1.91058,1.2958,0.52344,0.14261,0.14026,0.09314,1.22534,2.54529,1.27395,0.00802,0.00802,0.00802
22,372778,1.36211,1.90895,1.29524,0.51747,0.14238,0.14007,0.09315,1.2252,2.54149,1.27347,0.007921,0.007921,0.007921
23,388983,1.3606,1.90534,1.29423,0.52883,0.1421,0.1401,0.09321,1.22361,2.53813,1.27269,0.007822,0.007822,0.007822
24,405107,1.35999,1.90376,1.29394,0.51869,0.14373,0.14151,0.09448,1.22314,2.5358,1.27214,0.007723,0.007723,0.007723
25,419936,1.35872,1.9016,1.29302,0.53623,0.1443,0.14092,0.09385,1.22286,2.52831,1.27125,0.007624,0.007624,0.007624
26,433976,1.357,1.89856,1.29169,0.53896,0.14438,0.14147,0.09425,1.22073,2.52751,1.26895,0.007525,0.007525,0.007525
27,448039,1.35663,1.89646,1.29112,0.52708,0.14517,0.14251,0.095,1.22037,2.526,1.26906,0.007426,0.007426,0.007426
28,462776,1.35543,1.89434,1.29045,0.52874,0.14563,0.14262,0.0951,1.22019,2.52096,1.26769,0.007327,0.007327,0.007327
